AverageTemperature,City,lat,lon,year,diff
5.243,Abilene,32.95,-100.53,1960,0
3.827,Abilene,32.95,-100.53,1961,-1.416
2.887,Abilene,32.95,-100.53,1962,-2.356
2.628,Abilene,32.95,-100.53,1963,-2.615
6.067,Abilene,32.95,-100.53,1964,0.824
8.002,Abilene,32.95,-100.53,1965,2.759
2.33,Abilene,32.95,-100.53,1966,-2.913
7.052,Abilene,32.95,-100.53,1967,1.809
5.272,Abilene,32.95,-100.53,1968,0.029
7.715,Abilene,32.95,-100.53,1969,2.472
3.969,Abilene,32.95,-100.53,1970,-1.274
6.933,Abilene,32.95,-100.53,1971,1.69
5.833,Abilene,32.95,-100.53,1972,0.59
2.635,Abilene,32.95,-100.53,1973,-2.608
5.26,Abilene,32.95,-100.53,1974,0.017
6.395,Abilene,32.95,-100.53,1975,1.152
5.813,Abilene,32.95,-100.53,1976,0.57
1.624,Abilene,32.95,-100.53,1977,-3.619
1.208,Abilene,32.95,-100.53,1978,-4.035
0.225,Abilene,32.95,-100.53,1979,-5.018
5.807,Abilene,32.95,-100.53,1980,0.564
6.334,Abilene,32.95,-100.53,1981,1.091
5.807,Abilene,32.95,-100.53,1982,0.564
4.356,Abilene,32.95,-100.53,1983,-0.887
3.604,Abilene,32.95,-100.53,1984,-1.639
2.996,Abilene,32.95,-100.53,1985,-2.247
7.999,Abilene,32.95,-100.53,1986,2.756
5.082,Abilene,32.95,-100.53,1987,-0.161
3.493,Abilene,32.95,-100.53,1988,-1.75
8.259,Abilene,32.95,-100.53,1989,3.016
8.413,Abilene,32.95,-100.53,1990,3.17
4.119,Abilene,32.95,-100.53,1991,-1.124
5.556,Abilene,32.95,-100.53,1992,0.313
4.591,Abilene,32.95,-100.53,1993,-0.652
5.992,Abilene,32.95,-100.53,1994,0.749
7.039,Abilene,32.95,-100.53,1995,1.796
5.52,Abilene,32.95,-100.53,1996,0.277
5.417,Abilene,32.95,-100.53,1997,0.174
7.945,Abilene,32.95,-100.53,1998,2.702
7.45,Abilene,32.95,-100.53,1999,2.207
8.039,Abilene,32.95,-100.53,2000,2.796
4.465,Abilene,32.95,-100.53,2001,-0.778
7.288,Abilene,32.95,-100.53,2002,2.045
5.915,Abilene,32.95,-100.53,2003,0.672
7.277,Abilene,32.95,-100.53,2004,2.034
7.621,Abilene,32.95,-100.53,2005,2.378
10.145,Abilene,32.95,-100.53,2006,4.902
3.353,Abilene,32.95,-100.53,2007,-1.89
5.836,Abilene,32.95,-100.53,2008,0.593
6.347,Abilene,32.95,-100.53,2009,1.104
4.811,Abilene,32.95,-100.53,2010,-0.432
5.002,Abilene,32.95,-100.53,2011,-0.241
7.996,Abilene,32.95,-100.53,2012,2.753
6.32,Abilene,32.95,-100.53,2013,1.077
-0.832,Akron,40.99,-80.95,1960,0
-5.537,Akron,40.99,-80.95,1961,-4.705
-4.194,Akron,40.99,-80.95,1962,-3.362
-6.661,Akron,40.99,-80.95,1963,-5.829
-1.765,Akron,40.99,-80.95,1964,-0.933
-3.335,Akron,40.99,-80.95,1965,-2.503
-5.2,Akron,40.99,-80.95,1966,-4.368
-0.003,Akron,40.99,-80.95,1967,0.829
-5.382,Akron,40.99,-80.95,1968,-4.55
-3.358,Akron,40.99,-80.95,1969,-2.526
-6.896,Akron,40.99,-80.95,1970,-6.064
-5.045,Akron,40.99,-80.95,1971,-4.213
-2.164,Akron,40.99,-80.95,1972,-1.332
-1.292,Akron,40.99,-80.95,1973,-0.46
-0.102,Akron,40.99,-80.95,1974,0.73
-0.387,Akron,40.99,-80.95,1975,0.445
-5.255,Akron,40.99,-80.95,1976,-4.423
-11.416,Akron,40.99,-80.95,1977,-10.584
-6.956,Akron,40.99,-80.95,1978,-6.124
-5.986,Akron,40.99,-80.95,1979,-5.154
-2.966,Akron,40.99,-80.95,1980,-2.134
-6.248,Akron,40.99,-80.95,1981,-5.416
-6.559,Akron,40.99,-80.95,1982,-5.727
-1.372,Akron,40.99,-80.95,1983,-0.54
-5.682,Akron,40.99,-80.95,1984,-4.85
-5.834,Akron,40.99,-80.95,1985,-5.002
-2.804,Akron,40.99,-80.95,1986,-1.972
-2.646,Akron,40.99,-80.95,1987,-1.814
-3.829,Akron,40.99,-80.95,1988,-2.997
1.001,Akron,40.99,-80.95,1989,1.833
1.921,Akron,40.99,-80.95,1990,2.753
-2.326,Akron,40.99,-80.95,1991,-1.494
-1.514,Akron,40.99,-80.95,1992,-0.682
-0.185,Akron,40.99,-80.95,1993,0.647
-7.282,Akron,40.99,-80.95,1994,-6.45
-1.523,Akron,40.99,-80.95,1995,-0.691
-3.814,Akron,40.99,-80.95,1996,-2.982
-3.385,Akron,40.99,-80.95,1997,-2.553
1.729,Akron,40.99,-80.95,1998,2.561
-2.491,Akron,40.99,-80.95,1999,-1.659
-2.859,Akron,40.99,-80.95,2000,-2.027
-2.533,Akron,40.99,-80.95,2001,-1.701
1.046,Akron,40.99,-80.95,2002,1.878
-6.136,Akron,40.99,-80.95,2003,-5.304
-5.791,Akron,40.99,-80.95,2004,-4.959
-2.002,Akron,40.99,-80.95,2005,-1.17
3.18,Akron,40.99,-80.95,2006,4.012
0.021,Akron,40.99,-80.95,2007,0.853
-1.258,Akron,40.99,-80.95,2008,-0.426
-6.642,Akron,40.99,-80.95,2009,-5.81
-3.7,Akron,40.99,-80.95,2010,-2.868
-4.976,Akron,40.99,-80.95,2011,-4.144
-0.344,Akron,40.99,-80.95,2012,0.488
-1.086,Akron,40.99,-80.95,2013,-0.254
-2.36,Albuquerque,34.56,-107.03,1960,0
-1.378,Albuquerque,34.56,-107.03,1961,0.982
-1.293,Albuquerque,34.56,-107.03,1962,1.067
-2.334,Albuquerque,34.56,-107.03,1963,0.026
-2.729,Albuquerque,34.56,-107.03,1964,-0.369
1.437,Albuquerque,34.56,-107.03,1965,3.797
-2.45,Albuquerque,34.56,-107.03,1966,-0.09
-0.835,Albuquerque,34.56,-107.03,1967,1.525
-0.344,Albuquerque,34.56,-107.03,1968,2.016
2.813,Albuquerque,34.56,-107.03,1969,5.173
-0.591,Albuquerque,34.56,-107.03,1970,1.769
-0.47,Albuquerque,34.56,-107.03,1971,1.89
0.746,Albuquerque,34.56,-107.03,1972,3.106
-1.639,Albuquerque,34.56,-107.03,1973,0.721
-0.107,Albuquerque,34.56,-107.03,1974,2.253
-1.131,Albuquerque,34.56,-107.03,1975,1.229
-0.661,Albuquerque,34.56,-107.03,1976,1.699
-1.849,Albuquerque,34.56,-107.03,1977,0.511
1.012,Albuquerque,34.56,-107.03,1978,3.372
-1.95,Albuquerque,34.56,-107.03,1979,0.41
2.059,Albuquerque,34.56,-107.03,1980,4.419
1.622,Albuquerque,34.56,-107.03,1981,3.982
0.558,Albuquerque,34.56,-107.03,1982,2.918
-0.122,Albuquerque,34.56,-107.03,1983,2.238
-0.312,Albuquerque,34.56,-107.03,1984,2.048
-0.949,Albuquerque,34.56,-107.03,1985,1.411
